kinship_used	phenotype_simulated	QTN	h2_simulated	h2_estimated	se
snps	svs	10	0.15	0.116060495442947	0.00953942595251595
snps	svs	10	0.3	0.268520597174977	0.0120214121830535
snps	svs	10	0.45	0.404905272315972	0.0178239284513097
snps	svs	10	0.6	0.585233097436339	0.0209130175188953
snps	svs	10	0.75	0.727170915094439	0.0211178896867015
snps	svs	10	0.9	0.828741073507408	0.0225548943090208
snps	svs	100	0.15	0.128526036948343	0.00923340019932037
snps	svs	100	0.3	0.268148977979858	0.0115091017712034
snps	svs	100	0.45	0.417008793113773	0.0120172774307434
snps	svs	100	0.6	0.580440149580965	0.0115032960081012
snps	svs	100	0.75	0.697806975870324	0.0131504748062209
snps	svs	100	0.9	0.855741560001486	0.0149790876045696
snps	svs	500	0.15	0.143661962671898	0.00837284802008382
snps	svs	500	0.3	0.274099981310556	0.0107920693444695
snps	svs	500	0.45	0.41123243099851	0.011620907342879
snps	svs	500	0.6	0.573446434291903	0.0119112349378058
snps	svs	500	0.75	0.741380652809668	0.0108415719404068
snps	svs	500	0.9	0.877695313234931	0.009609607740863
snps	svs	1000	0.15	0.123738003974385	0.00889955107996747
snps	svs	1000	0.3	0.248263894142899	0.0108422395077195
snps	svs	1000	0.45	0.401487564404992	0.0109119619701132
snps	svs	1000	0.6	0.577190725288348	0.0122785662955498
snps	svs	1000	0.75	0.722558582238347	0.0101382079749419
snps	svs	1000	0.9	0.883571945692741	0.00767208233936345
svs	snps	10	0.15	0.107812435048741	0.00938752297269584
svs	snps	10	0.3	0.22877195032728	0.0153403254899051
svs	snps	10	0.45	0.348609430015904	0.0202014379367652
svs	snps	10	0.6	0.466792728103992	0.0223753333475572
svs	snps	10	0.75	0.677683826317559	0.0250292784473047
svs	snps	10	0.9	0.81017466901307	0.0262758761874112
svs	snps	100	0.15	0.0856093222131796	0.00743287929917924
svs	snps	100	0.3	0.205887865644019	0.0118216331689068
svs	snps	100	0.45	0.310644067490417	0.0122786753077126
svs	snps	100	0.6	0.451582761746097	0.0140189055336266
svs	snps	100	0.75	0.598072930744307	0.0151200412185396
svs	snps	100	0.9	0.715725969098097	0.0142697376235521
svs	snps	500	0.15	0.0863974781043808	0.0078866407224421
svs	snps	500	0.3	0.193528997482476	0.0115632791677784
svs	snps	500	0.45	0.317919348568239	0.0107364176361953
svs	snps	500	0.6	0.447719943936861	0.0115406734579263
svs	snps	500	0.75	0.591971395471718	0.0113702670368362
svs	snps	500	0.9	0.731565837071365	0.0115148302157836
svs	snps	1000	0.15	0.0930212933842997	0.00802842066868737
svs	snps	1000	0.3	0.196131803980361	0.0102683580619526
svs	snps	1000	0.45	0.320089557326223	0.0115757438490295
svs	snps	1000	0.6	0.437294898188284	0.0117059987497443
svs	snps	1000	0.75	0.565020288370346	0.0128921192984323
svs	snps	1000	0.9	0.711674489559502	0.0112113189248844
