type	kinship_used	phenotype_simulated	QTN	h2_simulated	h2_estimated	se
diff	snps	svs	10	0.15	0.116060495442947	0.00953942595251595
diff	snps	svs	10	0.3	0.268520597174977	0.0120214121830535
diff	snps	svs	10	0.45	0.404905272315972	0.0178239284513097
diff	snps	svs	10	0.6	0.585233097436339	0.0209130175188953
diff	snps	svs	10	0.75	0.727170915094439	0.0211178896867015
diff	snps	svs	10	0.9	0.828741073507408	0.0225548943090208
diff	snps	svs	100	0.15	0.128526036948343	0.00923340019932037
diff	snps	svs	100	0.3	0.268148977979858	0.0115091017712034
diff	snps	svs	100	0.45	0.417008793113773	0.0120172774307434
diff	snps	svs	100	0.6	0.580440149580965	0.0115032960081012
diff	snps	svs	100	0.75	0.697806975870324	0.0131504748062209
diff	snps	svs	100	0.9	0.855741560001486	0.0149790876045696
diff	snps	svs	500	0.15	0.143661962671898	0.00837284802008382
diff	snps	svs	500	0.3	0.274099981310556	0.0107920693444695
diff	snps	svs	500	0.45	0.41123243099851	0.011620907342879
diff	snps	svs	500	0.6	0.573446434291903	0.0119112349378058
diff	snps	svs	500	0.75	0.741380652809668	0.0108415719404068
diff	snps	svs	500	0.9	0.877695313234931	0.009609607740863
diff	snps	svs	1000	0.15	0.123738003974385	0.00889955107996747
diff	snps	svs	1000	0.3	0.248263894142899	0.0108422395077195
diff	snps	svs	1000	0.45	0.401487564404992	0.0109119619701132
diff	snps	svs	1000	0.6	0.577190725288348	0.0122785662955498
diff	snps	svs	1000	0.75	0.722558582238347	0.0101382079749419
diff	snps	svs	1000	0.9	0.883571945692741	0.00767208233936345
diff	svs	snps	10	0.15	0.107812435048741	0.00938752297269584
diff	svs	snps	10	0.3	0.22877195032728	0.0153403254899051
diff	svs	snps	10	0.45	0.348609430015904	0.0202014379367652
diff	svs	snps	10	0.6	0.466792728103992	0.0223753333475572
diff	svs	snps	10	0.75	0.677683826317559	0.0250292784473047
diff	svs	snps	10	0.9	0.81017466901307	0.0262758761874112
diff	svs	snps	100	0.15	0.0856093222131796	0.00743287929917924
diff	svs	snps	100	0.3	0.205887865644019	0.0118216331689068
diff	svs	snps	100	0.45	0.310644067490417	0.0122786753077126
diff	svs	snps	100	0.6	0.451582761746097	0.0140189055336266
diff	svs	snps	100	0.75	0.598072930744307	0.0151200412185396
diff	svs	snps	100	0.9	0.715725969098097	0.0142697376235521
diff	svs	snps	500	0.15	0.0863974781043808	0.0078866407224421
diff	svs	snps	500	0.3	0.193528997482476	0.0115632791677784
diff	svs	snps	500	0.45	0.317919348568239	0.0107364176361953
diff	svs	snps	500	0.6	0.447719943936861	0.0115406734579263
diff	svs	snps	500	0.75	0.591971395471718	0.0113702670368362
diff	svs	snps	500	0.9	0.731565837071365	0.0115148302157836
diff	svs	snps	1000	0.15	0.0930212933842997	0.00802842066868737
diff	svs	snps	1000	0.3	0.196131803980361	0.0102683580619526
diff	svs	snps	1000	0.45	0.320089557326223	0.0115757438490295
diff	svs	snps	1000	0.6	0.437294898188284	0.0117059987497443
diff	svs	snps	1000	0.75	0.565020288370346	0.0128921192984323
diff	svs	snps	1000	0.9	0.711674489559502	0.0112113189248844
same	snps	snps	10	0.15	0.133580006000959	0.00927060663685383
same	snps	snps	10	0.3	0.30318836986329	0.0130437070459606
same	snps	snps	10	0.45	0.47228631948639	0.0126316760816948
same	snps	snps	10	0.6	0.615597258464764	0.0163188440082621
same	snps	snps	10	0.75	0.819432278196265	0.0154688863754219
same	snps	snps	10	0.9	0.912202666897362	0.0156615805398561
same	snps	snps	100	0.15	0.131197539580689	0.00738342280162554
same	snps	snps	100	0.3	0.293655162370843	0.0104168256477091
same	snps	snps	100	0.45	0.426327087536419	0.0103711251118781
same	snps	snps	100	0.6	0.582835738658844	0.010601006370724
same	snps	snps	100	0.75	0.741691513740798	0.0110663053624522
same	snps	snps	100	0.9	0.887116202229853	0.00876103588179275
same	snps	snps	500	0.15	0.150562335177827	0.00871832673150974
same	snps	snps	500	0.3	0.291327807209169	0.00886223160314899
same	snps	snps	500	0.45	0.442810386256951	0.00934855621285349
same	snps	snps	500	0.6	0.5960994956435	0.00896791313990202
same	snps	snps	500	0.75	0.757983613022292	0.00767373342893308
same	snps	snps	500	0.9	0.902911245195787	0.007002200488921
same	snps	snps	1000	0.15	0.148508671336113	0.0088084748720475
same	snps	snps	1000	0.3	0.290345470667324	0.00904902252685906
same	snps	snps	1000	0.45	0.458164689852394	0.00834851936509193
same	snps	snps	1000	0.6	0.58694906574574	0.0101453315164819
same	snps	snps	1000	0.75	0.739629266050221	0.00709537531757393
same	snps	snps	1000	0.9	0.890342197323528	0.00664653674135985
same	svs	svs	10	0.15	0.1471455201638	0.00951880071377013
same	svs	svs	10	0.3	0.323035967938321	0.0111154020964885
same	svs	svs	10	0.45	0.474197399580994	0.0150821841967853
same	svs	svs	10	0.6	0.653001061506422	0.0179691832502116
same	svs	svs	10	0.75	0.803144675992153	0.0163526797965573
same	svs	svs	10	0.9	0.877391164815872	0.0176236179153094
same	svs	svs	100	0.15	0.15426259705075	0.00754860052807493
same	svs	svs	100	0.3	0.304888657304624	0.00980297126516702
same	svs	svs	100	0.45	0.482551857108794	0.0101582764868535
same	svs	svs	100	0.6	0.628879814053841	0.0104772516825267
same	svs	svs	100	0.75	0.779438396330147	0.0100044616076417
same	svs	svs	100	0.9	0.921841880062371	0.00888914685982155
same	svs	svs	500	0.15	0.174026194357285	0.00918767424282068
same	svs	svs	500	0.3	0.324249503900392	0.00916728731274604
same	svs	svs	500	0.45	0.473936023808305	0.00994238999755297
same	svs	svs	500	0.6	0.638183437813971	0.00852647247835145
