kinship_used	phenotype_simulated	QTN	h2_simulated	h2_estimated	se
snps	snps	10	0.15	0.133580006000959	0.00927060663685383
snps	snps	10	0.3	0.30318836986329	0.0130437070459606
snps	snps	10	0.45	0.47228631948639	0.0126316760816948
snps	snps	10	0.6	0.615597258464764	0.0163188440082621
snps	snps	10	0.75	0.819432278196265	0.0154688863754219
snps	snps	10	0.9	0.912202666897362	0.0156615805398561
snps	snps	100	0.15	0.131197539580689	0.00738342280162554
snps	snps	100	0.3	0.293655162370843	0.0104168256477091
snps	snps	100	0.45	0.426327087536419	0.0103711251118781
snps	snps	100	0.6	0.582835738658844	0.010601006370724
snps	snps	100	0.75	0.741691513740798	0.0110663053624522
snps	snps	100	0.9	0.887116202229853	0.00876103588179275
snps	snps	500	0.15	0.150562335177827	0.00871832673150974
snps	snps	500	0.3	0.291327807209169	0.00886223160314899
snps	snps	500	0.45	0.442810386256951	0.00934855621285349
snps	snps	500	0.6	0.5960994956435	0.00896791313990202
snps	snps	500	0.75	0.757983613022292	0.00767373342893308
snps	snps	500	0.9	0.902911245195787	0.007002200488921
snps	snps	1000	0.15	0.148508671336113	0.0088084748720475
snps	snps	1000	0.3	0.290345470667324	0.00904902252685906
snps	snps	1000	0.45	0.458164689852394	0.00834851936509193
snps	snps	1000	0.6	0.58694906574574	0.0101453315164819
snps	snps	1000	0.75	0.739629266050221	0.00709537531757393
snps	snps	1000	0.9	0.890342197323528	0.00664653674135985
svs	svs	10	0.15	0.1471455201638	0.00951880071377013
svs	svs	10	0.3	0.323035967938321	0.0111154020964885
svs	svs	10	0.45	0.474197399580994	0.0150821841967853
svs	svs	10	0.6	0.653001061506422	0.0179691832502116
svs	svs	10	0.75	0.803144675992153	0.0163526797965573
svs	svs	10	0.9	0.877391164815872	0.0176236179153094
svs	svs	100	0.15	0.15426259705075	0.00754860052807493
svs	svs	100	0.3	0.304888657304624	0.00980297126516702
svs	svs	100	0.45	0.482551857108794	0.0101582764868535
svs	svs	100	0.6	0.628879814053841	0.0104772516825267
svs	svs	100	0.75	0.779438396330147	0.0100044616076417
svs	svs	100	0.9	0.921841880062371	0.00888914685982155
svs	svs	500	0.15	0.174026194357285	0.00918767424282068
svs	svs	500	0.3	0.324249503900392	0.00916728731274604
svs	svs	500	0.45	0.473936023808305	0.00994238999755297
svs	svs	500	0.6	0.638183437813971	0.00852647247835145
svs	svs	500	0.75	0.789907485275732	0.00717579931817733
svs	svs	500	0.9	0.930803655389089	0.00701312402063896
svs	svs	1000	0.15	0.155144863480591	0.00735533175054069
svs	svs	1000	0.3	0.327240195449765	0.00939168739995152
svs	svs	1000	0.45	0.488906454528484	0.00977458218367569
svs	svs	1000	0.6	0.645155104296173	0.00844342817009025
svs	svs	1000	0.75	0.776237017762863	0.00858252129512072
svs	svs	1000	0.9	0.927659445943679	0.00556918658613138
