QTN	h2_simulated	kinship_used	phenotype_simulated	h2_estimated	rep
10	0.15	snps	snps	0.125864669268659	1
10	0.15	snps	snps	0.103014161852008	2
10	0.15	snps	snps	0.259145811093979	3
10	0.15	snps	snps	0	4
10	0.15	snps	snps	0.189286991502066	5
10	0.15	snps	snps	0.141231285826404	6
10	0.15	snps	snps	0.154682960135159	7
10	0.15	snps	snps	0.187746179868424	8
10	0.15	snps	snps	0.203628718502729	9
10	0.15	snps	snps	0.238317148888613	10
10	0.15	snps	snps	0.0603638911391851	11
10	0.15	snps	snps	0.17981129605816	12
10	0.15	snps	snps	0.0460630599843979	13
10	0.15	snps	snps	0.178277969937995	14
10	0.15	snps	snps	0.216893825167104	15
10	0.15	snps	snps	0.0707266066948021	16
10	0.15	snps	snps	0.368449240874108	17
10	0.15	snps	snps	0.207588707717187	18
10	0.15	snps	snps	0.270079374435145	19
10	0.15	snps	snps	0.0809367431919078	20
10	0.15	snps	snps	0.202869184553234	21
10	0.15	snps	snps	0.0799188831166758	22
10	0.15	snps	snps	0.053631330637877	23
10	0.15	snps	snps	0.134397208954671	24
10	0.15	snps	snps	0.151485156378756	25
10	0.15	snps	snps	0.253164732046265	26
10	0.15	snps	snps	0.201509098979139	27
10	0.15	snps	snps	0.0994334254966524	28
10	0.15	snps	snps	0.109544105992059	29
10	0.15	snps	snps	0.0987810185454451	30
10	0.15	snps	snps	0.314698247203526	31
10	0.15	snps	snps	0.0858729385262435	32
10	0.15	snps	snps	0.305172391870572	33
10	0.15	snps	snps	0.0483702957156402	34
10	0.15	snps	snps	0.169375149794249	35
10	0.15	snps	snps	0.144463613566429	36
10	0.15	snps	snps	0.0904674089654004	37
10	0.15	snps	snps	0.183065792561451	38
10	0.15	snps	snps	0.131411662762478	39
10	0.15	snps	snps	0.272009903141904	40
10	0.15	snps	snps	0.138163656472543	41
10	0.15	snps	snps	0.137068538274003	42
10	0.15	snps	snps	0.177800688342797	43
10	0.15	snps	snps	0.298169733595106	44
10	0.15	snps	snps	0.153015580740769	45
10	0.15	snps	snps	0.149589071612128	46
10	0.15	snps	snps	0	47
10	0.15	snps	snps	0.106628617580826	48
10	0.15	snps	snps	0.0436005022694881	49
10	0.15	snps	snps	0.243570978481446	50
10	0.15	snps	snps	0.174324712829486	51
10	0.15	snps	snps	0	52
10	0.15	snps	snps	0.0132113040903195	53
10	0.15	snps	snps	0	54
10	0.15	snps	snps	0	55
10	0.15	snps	snps	0.0299736183521387	56
10	0.15	snps	snps	0.126307527207736	57
10	0.15	snps	snps	0	58
10	0.15	snps	snps	0.180179411610072	59
10	0.15	snps	snps	0.0988888833700063	60
10	0.15	snps	snps	0.115017588112409	61
10	0.15	snps	snps	0.0509693116084256	62
10	0.15	snps	snps	0.237901532154692	63
10	0.15	snps	snps	0.042871289496021	64
10	0.15	snps	snps	0	65
10	0.15	snps	snps	0.00152365605658268	66
10	0.15	snps	snps	0.0984676204744368	67
10	0.15	snps	snps	0.222921538035784	68
10	0.15	snps	snps	0.145508387213991	69
10	0.15	snps	snps	0.208364853648751	70
10	0.15	snps	snps	0.258682919215943	71
10	0.15	snps	snps	0.146573192153947	72
10	0.15	snps	snps	0.0687926057300405	73
