Name RNA Mapping_rate Group
BGV006775 SRR10435546 0.9772 PIM
BGV006775 SRR10435547 0.9799 PIM
BGV006775 SRR10435549 0.9061 PIM
BGV006775 SRR12560324 0.9485 PIM
BGV006775 SRR2064660 0.9896 PIM
BGV006775 SRR2064662 0.9874 PIM
BGV006775 SRR2064663 0.9845 PIM
BGV006775 SRR2064665 0.9854 PIM
BGV006775 SRR2064668 0.9892 PIM
BGV006775 SRR2064671 0.9903 PIM
BGV006775 SRR2356898 0.9346 PIM
BGV006775 SRR2356905 0.9515 PIM
BGV006775 SRR2356907 0.9465 PIM
BGV006775 SRR2356916 0.946 PIM
BGV006775 SRR2356941 0.9241 PIM
BGV006775 SRR2356969 0.9507 PIM
BGV006775 SRR2939611 0.9646 PIM
BGV006775 SRR2939613 0.9688 PIM
BGV006775 SRR2939615 0.9667 PIM
BGV006775 SRR3031978 0.9223 PIM
BGV006775 SRR3119178 0.9691 PIM
BGV006775 SRR3119184 0.9693 PIM
BGV006775 SRR3119185 0.9855 PIM
BGV006775 SRR3119186 0.9856 PIM
BGV006775 SRR3119187 0.9839 PIM
BGV006775 SRR3119188 0.974 PIM
BGV006775 SRR3119189 0.9742 PIM
BGV006775 SRR3119190 0.972 PIM
BGV006775 SRR786507 0.9786 PIM
BGV006775 SRR786508 0.9794 PIM
BGV006775 SRR786509 0.9786 PIM
BGV006775 SRR786514 0.9807 PIM
BGV006775 SRR786515 0.9728 PIM
BGV006775 SRR786516 0.9759 PIM
BGV006775 SRR786517 0.974 PIM
BGV006775 SRR786520 0.9348 PIM
BGV006775 SRR786521 0.9345 PIM
BGV006775 SRR786522 0.9491 PIM
BGV006775 SRR786523 0.9488 PIM
BGV006775 SRR786525 0.9741 PIM
BGV006775 SRR786526 0.9597 PIM
BGV006775 SRR786527 0.9682 PIM
BGV006775 SRR786528 0.9798 PIM
BGV006775 SRR786529 0.9592 PIM
BGV006775 SRR786530 0.9626 PIM
BGV006775 SRR786531 0.9479 PIM
BGV006775 SRR786532 0.9427 PIM
BGV006775 SRR786533 0.9553 PIM
BGV006775 SRR786534 0.958 PIM
BGV006775 SRR786535 0.9648 PIM
BGV006775 SRR786536 0.9675 PIM
BGV006775 SRR786537 0.9659 PIM
BGV006775 SRR786538 0.9423 PIM
BGV006775 SRR786539 0.9455 PIM
BGV006775 SRR786540 0.97 PIM
BGV006775 SRR786541 0.9667 PIM
BGV006775 SRR786542 0.9737 PIM
BGV006775 SRR786543 0.9191 PIM
BGV006775 SRR786544 0.911 PIM
BGV006775 SRR786545 0.962 PIM
BGV006775 SRR786546 0.9705 PIM
BGV006775 SRR786547 0.9687 PIM
BGV006775 SRR786548 0.9668 PIM
BGV006775 SRR786549 0.9637 PIM
BGV006775 SRR786550 0.9712 PIM
BGV006775 SRR786551 0.9711 PIM
BGV006775 SRR786581 0.9477 PIM
BGV006775 SRR786582 0.9542 PIM
BGV006775 SRR786583 0.9485 PIM
BGV006775 SRR786584 0.9548 PIM
BGV006775 SRR786585 0.958 PIM
BGV006775 SRR786586 0.9588 PIM
BGV006775 SRR786587 0.9473 PIM
BGV006775 SRR786588 0.9507 PIM
BGV006775 SRR786589 0.9619 PIM
BGV006775 SRR786590 0.9651 PIM
BGV006775 SRR786591 0.957 PIM
BGV006775 SRR786592 0.9596 PIM
BGV006775 SRR786593 0.9621 PIM
BGV006775 SRR786594 0.9646 PIM
BGV006775 SRR786595 0.9565 PIM
BGV006775 SRR786596 0.9599 PIM
BGV006865 SRR10435545 0.9744 CER
BGV006865 SRR10435546 0.9811 CER
BGV006865 SRR10435547 0.9829 CER
BGV006865 SRR10435549 0.9082 CER
BGV006865 SRR12560324 0.9509 CER
BGV006865 SRR2064660 0.9903 CER
BGV006865 SRR2064662 0.9908 CER
BGV006865 SRR2064663 0.9887 CER
BGV006865 SRR2064665 0.9869 CER
BGV006865 SRR2064668 0.9906 CER
BGV006865 SRR2064671 0.9922 CER
BGV006865 SRR2356898 0.9335 CER
BGV006865 SRR2356905 0.9543 CER
BGV006865 SRR2356907 0.9506 CER
BGV006865 SRR2356916 0.9468 CER
BGV006865 SRR2356941 0.9244 CER
BGV006865 SRR2356969 0.9516 CER
BGV006865 SRR2939611 0.9655 CER
BGV006865 SRR2939613 0.9692 CER
BGV006865 SRR2939615 0.9678 CER
BGV006865 SRR3031978 0.9192 CER
BGV006865 SRR3119178 0.9781 CER
BGV006865 SRR3119184 0.9794 CER
BGV006865 SRR3119185 0.9874 CER
BGV006865 SRR3119186 0.9871 CER
BGV006865 SRR3119187 0.9876 CER
BGV006865 SRR3119188 0.9861 CER
BGV006865 SRR3119189 0.9849 CER
BGV006865 SRR3119190 0.9808 CER
BGV006865 SRR786507 0.9813 CER
BGV006865 SRR786508 0.9818 CER
BGV006865 SRR786509 0.9815 CER
BGV006865 SRR786514 0.9814 CER
BGV006865 SRR786515 0.9737 CER
BGV006865 SRR786516 0.9764 CER
BGV006865 SRR786517 0.9748 CER
BGV006865 SRR786520 0.938 CER
BGV006865 SRR786521 0.9382 CER
BGV006865 SRR786522 0.9511 CER
BGV006865 SRR786523 0.9513 CER
BGV006865 SRR786525 0.9753 CER
BGV006865 SRR786526 0.9605 CER
BGV006865 SRR786527 0.9685 CER
BGV006865 SRR786528 0.9826 CER
BGV006865 SRR786529 0.9593 CER
BGV006865 SRR786530 0.9626 CER
BGV006865 SRR786531 0.9343 CER
BGV006865 SRR786532 0.9311 CER
BGV006865 SRR786533 0.9575 CER
BGV006865 SRR786534 0.9599 CER
BGV006865 SRR786535 0.9676 CER
BGV006865 SRR786536 0.9696 CER
BGV006865 SRR786537 0.9691 CER
BGV006865 SRR786538 0.9448 CER
BGV006865 SRR786539 0.9475 CER
BGV006865 SRR786540 0.9716 CER
BGV006865 SRR786541 0.9686 CER
BGV006865 SRR786542 0.9765 CER
BGV006865 SRR786543 0.909 CER
BGV006865 SRR786544 0.9026 CER
BGV006865 SRR786545 0.9642 CER
BGV006865 SRR786546 0.9723 CER
BGV006865 SRR786547 0.9691 CER
BGV006865 SRR786548 0.9681 CER
BGV006865 SRR786549 0.9656 CER
BGV006865 SRR786550 0.9727 CER
BGV006865 SRR786551 0.9735 CER
BGV006865 SRR786581 0.9487 CER
BGV006865 SRR786582 0.9551 CER
BGV006865 SRR786583 0.9488 CER
BGV006865 SRR786584 0.9551 CER
BGV006865 SRR786585 0.9588 CER
BGV006865 SRR786586 0.9595 CER
BGV006865 SRR786587 0.9477 CER
BGV006865 SRR786588 0.9513 CER
BGV006865 SRR786589 0.9629 CER
BGV006865 SRR786590 0.966 CER
BGV006865 SRR786591 0.9574 CER
BGV006865 SRR786592 0.9602 CER
BGV006865 SRR786593 0.9635 CER
BGV006865 SRR786594 0.9659 CER
BGV006865 SRR786595 0.9574 CER
BGV006865 SRR786596 0.961 CER
BGV007931 SRR10435545 0.9749 CER
BGV007931 SRR10435546 0.9799 CER
BGV007931 SRR10435547 0.9848 CER
BGV007931 SRR10435549 0.9099 CER
BGV007931 SRR12560324 0.9518 CER
BGV007931 SRR2064660 0.9888 CER
BGV007931 SRR2064662 0.9887 CER
BGV007931 SRR2064663 0.9899 CER
BGV007931 SRR2064665 0.9852 CER
BGV007931 SRR2064668 0.9871 CER
BGV007931 SRR2064671 0.9884 CER
BGV007931 SRR2356898 0.9326 CER
BGV007931 SRR2356905 0.9523 CER
BGV007931 SRR2356907 0.9514 CER
BGV007931 SRR2356916 0.9451 CER
BGV007931 SRR2356941 0.9207 CER
BGV007931 SRR2356969 0.9479 CER
BGV007931 SRR2939611 0.966 CER
BGV007931 SRR2939613 0.9715 CER
BGV007931 SRR2939615 0.9689 CER
BGV007931 SRR3031978 0.92 CER
BGV007931 SRR3119178 0.9801 CER
BGV007931 SRR3119184 0.9812 CER
BGV007931 SRR3119185 0.9891 CER
BGV007931 SRR3119186 0.9894 CER
BGV007931 SRR3119187 0.9902 CER
BGV007931 SRR3119188 0.9884 CER
BGV007931 SRR3119189 0.9873 CER
BGV007931 SRR3119190 0.9836 CER
BGV007931 SRR786507 0.982 CER
BGV007931 SRR786508 0.9808 CER
BGV007931 SRR786509 0.9822 CER
BGV007931 SRR786514 0.9807 CER
BGV007931 SRR786515 0.9732 CER
BGV007931 SRR786516 0.976 CER
BGV007931 SRR786517 0.9741 CER
BGV007931 SRR786520 0.9395 CER
BGV007931 SRR786521 0.9397 CER
BGV007931 SRR786522 0.9525 CER
BGV007931 SRR786523 0.9526 CER
BGV007931 SRR786525 0.9741 CER
BGV007931 SRR786526 0.9623 CER
BGV007931 SRR786527 0.9701 CER
BGV007931 SRR786528 0.9832 CER
BGV007931 SRR786529 0.9611 CER
BGV007931 SRR786530 0.9641 CER
BGV007931 SRR786531 0.9449 CER
BGV007931 SRR786532 0.9403 CER
BGV007931 SRR786533 0.9586 CER
BGV007931 SRR786534 0.9607 CER
BGV007931 SRR786535 0.9686 CER
BGV007931 SRR786536 0.9707 CER
BGV007931 SRR786537 0.9709 CER
BGV007931 SRR786538 0.9456 CER
BGV007931 SRR786539 0.9481 CER
BGV007931 SRR786540 0.9707 CER
BGV007931 SRR786541 0.9671 CER
BGV007931 SRR786542 0.9776 CER
BGV007931 SRR786543 0.9169 CER
BGV007931 SRR786544 0.9098 CER
BGV007931 SRR786545 0.9651 CER
BGV007931 SRR786546 0.9727 CER
BGV007931 SRR786547 0.971 CER
BGV007931 SRR786548 0.9695 CER
BGV007931 SRR786549 0.9626 CER
BGV007931 SRR786550 0.9696 CER
BGV007931 SRR786551 0.9743 CER
BGV007931 SRR786581 0.9481 CER
BGV007931 SRR786582 0.9544 CER
BGV007931 SRR786583 0.949 CER
BGV007931 SRR786584 0.9552 CER
BGV007931 SRR786585 0.9584 CER
BGV007931 SRR786586 0.9589 CER
BGV007931 SRR786587 0.9478 CER
BGV007931 SRR786588 0.9509 CER
BGV007931 SRR786589 0.9622 CER
BGV007931 SRR786590 0.9652 CER
BGV007931 SRR786591 0.9575 CER
BGV007931 SRR786592 0.96 CER
BGV007931 SRR786593 0.9625 CER
BGV007931 SRR786594 0.9649 CER
BGV007931 SRR786595 0.9571 CER
BGV007931 SRR786596 0.96 CER
BGV007989 SRR10435545 0.977 CER
BGV007989 SRR10435546 0.9826 CER
BGV007989 SRR10435547 0.9851 CER
BGV007989 SRR10435549 0.9125 CER
BGV007989 SRR12560324 0.9538 CER
BGV007989 SRR2064660 0.9915 CER
BGV007989 SRR2064662 0.9923 CER
BGV007989 SRR2064663 0.9924 CER
BGV007989 SRR2064665 0.9884 CER
BGV007989 SRR2064668 0.9901 CER
