Chr	Start	End	Type
Chr01	1	46162128	W
Chr01	46162129	46162628	N
Chr01	46162629	93364382	W
Chr02	1	393802	W
Chr02	393803	394302	N
Chr02	394303	55809412	W
Chr03	1	3882874	W
Chr03	3882875	3883374	N
Chr03	3883375	4809133	W
Chr03	4809134	4809633	N
Chr03	4809634	10280688	W
Chr03	10280689	10281188	N
Chr03	10281189	39070478	W
Chr03	39070479	39070978	N
Chr03	39070979	56369878	W
Chr03	56369879	56370378	N
Chr03	56370379	66889691	W
Chr04	1	4699161	W
Chr04	4699162	4699661	N
Chr04	4699662	55643210	W
Chr04	55643211	55643710	N
Chr04	55643711	57746075	W
Chr04	57746076	57746575	N
Chr04	57746576	58007946	W
Chr04	58007947	58008446	N
Chr04	58008447	67567563	W
Chr05	1	46965102	W
Chr05	46965103	46965602	N
Chr05	46965603	55090751	W
Chr05	55090752	55091251	N
Chr05	55091252	65743948	W
Chr06	1	6692974	W
Chr06	6692975	6693474	N
Chr06	6693475	52165627	W
Chr07	1	4440628	W
Chr07	4440629	4441128	N
Chr07	4441129	20085720	W
Chr07	20085721	20086220	N
Chr07	20086221	68558381	W
Chr07	68558382	68558881	N
Chr07	68558882	68659810	W
Chr08	1	39100049	W
Chr08	39100050	39100549	N
Chr08	39100550	45447587	W
Chr08	45447588	45448087	N
Chr08	45448088	59203986	W
Chr08	59203987	59204486	N
Chr08	59204487	66792033	W
Chr08	66792034	66792533	N
Chr08	66792534	67617550	W
Chr09	1	19745599	W
Chr09	19745600	19746099	N
Chr09	19746100	61443587	W
Chr09	61443588	61444087	N
Chr09	61444088	62893237	W
Chr09	62893238	62893737	N
Chr09	62893738	69406105	W
Chr10	1	11462402	W
Chr10	11462403	11462902	N
Chr10	11462903	66347229	W
Chr11	1	13724860	W
Chr11	13724861	13725360	N
Chr11	13725361	26936382	W
Chr11	26936383	26936882	N
Chr11	26936883	30360705	W
Chr11	30360706	30361205	N
Chr11	30361206	58414624	W
Chr12	1	16248860	W
Chr12	16248861	16249360	N
Chr12	16249361	23940587	W
Chr12	23940588	23941087	N
Chr12	23941088	48688441	W
Chr12	48688442	48688941	N
Chr12	48688942	68130381	W
