chr	start	end	local_h2g	pos	color
1	0	97408	0	0	black
1	1	621	621	621	black
1	69	33472	33404	33472	black
1	31473	33468	1996	33468	black
1	33470	35606	2137	35606	black
1	35607	35683	77	35683	black
1	35684	35875	192	35875	black
1	35876	38479	2604	38479	black
1	38480	38641	162	38641	black
1	38642	57988	19347	57988	black
1	38642	40031	1390	40031	black
1	57990	59209	1220	59209	black
1	58486	58711	226	58711	black
1	58712	59988	1277	59988	black
1	59989	68425	8437	68425	black
1	68425	84776	16351	84775	red
1	33191778	33191811	34	33191811	black
1	33213915	33213940	26	33213940	black
1	33216392	33216415	24	33216415	black
1	33229440	33229464	25	33229464	black
1	33415867	33415901	35	33415901	black
1	33481292	33481374	83	33481374	black
1	33490880	33490911	32	33490911	black
1	33495834	33495865	32	33495865	black
1	33603759	33603791	33	33603791	black
1	35402758	35414329	11572	35414329	black
1	35414329	35418693	4364	35418692	red
1	35418694	35421640	2947	35421640	black
1	35421642	35422800	1159	35422800	black
1	35422800	35427574	4774	35427573	red
1	35439314	35439597	284	35439597	black
1	35439597	35442261	2664	35442260	red
1	35442262	35448193	5932	35448193	black
1	35448195	35449354	1160	35449354	black
1	35448431	35449539	1109	35449539	black
1	35449540	35452611	3072	35452611	black
1	35452612	35459898	7287	35459898	black
1	35459899	35462845	2947	35462845	black
1	35462847	35468778	5932	35468778	black
1	35468780	35469939	1160	35469939	black
1	35469016	35470189	1174	35470189	black
1	35470190	35473200	3011	35473200	black
1	35473201	35480515	7315	35480515	black
1	35480516	35483051	2536	35483051	black
1	35483051	35483466	415	35483465	red
1	35607916	35608361	446	35608361	black
1	35608361	35612587	4226	35612586	red
1	35612588	35617043	4456	35617043	black
1	35615247	35617995	2749	35617995	black
1	35617402	35617521	120	35617521	black
1	35617522	35619510	1989	35619510	black
1	35619511	35622203	2693	35622203	black
1	35622204	35633115	10912	35633115	black
1	35633117	35636680	3564	35636680	black
1	35634115	35637791	3677	35637791	black
1	35637793	35642248	4456	35642248	black
1	35640452	35642589	2138	35642589	black
1	35642590	35642726	137	35642726	black
1	35642727	35644715	1989	35644715	black
1	35644716	35647408	2693	35647408	black
1	35647409	35658321	10913	35658321	black
1	35658323	35662997	4675	35662997	black
1	35662999	35667454	4456	35667454	black
1	35665658	35668022	2365	35668022	black
1	35668023	35670083	2061	35670083	black
1	35670084	35673693	3610	35673693	black
1	35671236	35676005	4770	35676005	black
1	35676006	35678755	2750	35678755	black
1	35678755	35682634	3879	35682633	red
1	35687908	35689841	1934	35689841	black
1	35689841	35692601	2760	35692600	red
1	35690880	35693260	2381	35693260	black
1	35693262	35694013	752	35694013	black
1	35694014	35697624	3611	35697624	black
1	35695911	35699622	3712	35699622	black
1	35699624	35708954	9331	35708954	black
1	35707162	35709614	2453	35709614	black
1	35709615	35720040	10426	35720040	black
1	35720040	35721208	1168	35721207	red
1	35721869	35732757	10889	35732757	black
1	35732757	35733462	705	35733461	red
1	35733463	35734121	659	35734121	black
1	35734122	35745713	11592	35745713	black
1	35745715	35746670	956	35746670	black
1	35746121	35746373	253	35746373	black
1	35746374	35747126	753	35747126	black
1	35747127	35749560	2434	35749560	black
1	35749561	35753294	3734	35753294	black
1	35753296	35757095	3800	35757095	black
1	35757096	35760722	3627	35760722	black
1	35757647	35761820	4174	35761820	black
1	35761821	35764562	2742	35764562	black
1	35764563	35769102	4540	35769102	black
1	35767475	35771929	4455	35771929	black
1	35771931	35780475	8545	35780475	black
1	35778431	35783253	4823	35783253	black
1	35780790	35789560	8771	35789560	black
1	35789561	35794297	4737	35794297	black
1	35794298	35800602	6305	35800602	black
1	35800604	35805340	4737	35805340	black
1	35805341	35811645	6305	35811645	black
1	35811647	35816383	4737	35816383	black
1	35816384	35822689	6306	35822689	black
1	35822691	35827427	4737	35827427	black
1	35827428	35833734	6307	35833734	black
1	35833736	35838472	4737	35838472	black
1	35838473	35844778	6306	35844778	black
1	35844780	35849516	4737	35849516	black
1	35849517	35855823	6307	35855823	black
1	35855825	35860561	4737	35860561	black
1	35860562	35866868	6307	35866868	black
1	35866870	35871606	4737	35871606	black
1	35871607	35877913	6307	35877913	black
1	35877915	35882651	4737	35882651	black
1	35882652	35888953	6302	35888953	black
1	35888956	35893692	4737	35893692	black
1	35893693	35897183	3491	35897183	black
1	35895201	35897400	2200	35897400	black
1	35897402	35898947	1546	35898947	black
1	35898949	35902584	3636	35902584	black
1	35899509	35903684	4176	35903684	black
1	35903686	35909990	6305	35909990	black
1	35909991	35914727	4737	35914727	black
1	35914728	35921032	6305	35921032	black
1	35921033	35925769	4737	35925769	black
1	35925770	35932073	6304	35932073	black
1	35932075	35936811	4737	35936811	black
1	35936812	35943114	6303	35943114	black
1	35943116	35947852	4737	35947852	black
1	35947853	35954159	6307	35954159	black
1	35954161	35958435	4275	35958435	black
1	35958436	35965206	6771	35965206	black
1	35965208	35968845	3638	35968845	black
1	35965816	35969944	4129	35969944	black
1	35969945	35976251	6307	35976251	black
1	35976253	35979890	3638	35979890	black
1	35976861	35980989	4129	35980989	black
1	35980990	35987295	6306	35987295	black
1	35987297	35992033	4737	35992033	black
1	35992034	35998339	6306	35998339	black
1	35998341	36003077	4737	36003077	black
1	36003078	36011341	8264	36011341	black
1	36009385	36011656	2272	36011656	black
1	36011657	36020427	8771	36020427	black
1	36020429	36024066	3638	36024066	black
1	36020989	36025165	4177	36025165	black
1	36025166	36031471	6306	36031471	black
1	36031473	36036209	4737	36036209	black
1	36036210	36042515	6306	36042515	black
1	36042517	36046154	3638	36046154	black
1	36043077	36047253	4177	36047253	black
1	36047254	36053559	6306	36053559	black
1	36053561	36058297	4737	36058297	black
1	36058298	36064604	6307	36064604	black
1	36064606	36068243	3638	36068243	black
1	36065660	36069342	3683	36069342	black
1	36069343	36075649	6307	36075649	black
1	36075651	36080387	4737	36080387	black
1	36080388	36086694	6307	36086694	black
1	36086696	36091432	4737	36091432	black
1	36091433	36097738	6306	36097738	black
1	36097740	36102476	4737	36102476	black
1	36102477	36108782	6306	36108782	black
1	36108784	36113520	4737	36113520	black
1	36113521	36119826	6306	36119826	black
1	36119828	36124564	4737	36124564	black
1	36124565	36127152	2588	36127152	black
1	36127153	36128518	1366	36128518	black
1	36128520	36130871	2352	36130871	black
1	36130872	36135608	4737	36135608	black
1	36135609	36141915	6307	36141915	black
1	36141917	36146189	4273	36146189	black
1	36146190	36152804	6615	36152804	black
1	36152806	36157542	4737	36157542	black
1	36157543	36163844	6302	36163844	black
1	36163847	36168581	4735	36168581	black
1	36168582	36171324	2743	36171324	black
1	36171325	36173565	2241	36173565	black
1	36173568	36173837	270	36173837	black
1	36173838	36178572	4735	36178572	black
1	36178575	36184794	6220	36184794	black
1	36184795	36187111	2317	36187111	black
1	36185442	36189618	4177	36189618	black
1	36189619	36195925	6307	36195925	black
1	36195926	36200662	4737	36200662	black
1	36200663	36206969	6307	36206969	black
1	36206971	36211707	4737	36211707	black
1	36211708	36218014	6307	36218014	black
1	36218016	36222752	4737	36222752	black
1	36222753	36228961	6209	36228961	black
1	36228963	36232581	3619	36232581	black
1	36229504	36233680	4177	36233680	black
1	36233681	36239975	6295	36239975	black
1	36239977	36243614	3638	36243614	black
1	36240537	36244713	4177	36244713	black
1	36244714	36251015	6302	36251015	black
1	36251018	36255754	4737	36255754	black
1	36255755	36258479	2725	36258479	black
1	36258480	36260739	2260	36260739	black
1	36260741	36261010	270	36261010	black
1	36261011	36265747	4737	36265747	black
1	36265748	36272052	6305	36272052	black
1	36272053	36276787	4735	36276787	black
1	36276788	36279514	2727	36279514	black
1	36279515	36281774	2260	36281774	black
1	36281776	36282044	269	36282044	black
1	36282046	36286780	4735	36286780	black
1	36286783	36293087	6305	36293087	black
1	36293088	36297822	4735	36297822	black
1	36297823	36304129	6307	36304129	black
